species,Ne_median,bin_1,bin_20,relative_pi_difference
Saguinus_bicolor,26882.68330558596,4.7e-4,7.5e-4,0.37333333333333335
Saguinus_imperator,72723.16221291693,0.00118,0.00226,0.47787610619469023
Saguinus_labiatus,48924.35114414243,0.0010166666666666,0.0014483333333333,0.29804372842350513
Saguinus_midas,96362.39288643746,0.0019421666666666,0.0028526666666666,0.3191750408974135
Saguinus_mystax,48980.65074269837,8.6e-4,0.00145,0.4068965517241379
Saimiri_cassiquiarensis,62691.9282591934,0.001393343082571,0.0020298697927888503,0.31358006926312376
Saimiri_macrodon,78786.88059566694,0.0017093333333333,0.0025510000000000003,0.3299359728211291
Saimiri_ustus,82844.16061311358,0.0019102907176672,0.002574527802263,0.2580034614549271
Sapajus_apella,48619.797211975485,0.0010715,0.0018396666666666,0.41755752853775746
Sapajus_macrocephalus,47714.88821056674,0.00108339381207025,0.0018054268914779,0.3999237425873294
Semnopithecus_entellus,312837.5423590104,0.0085525522255522,0.0104835713730713,0.18419478236960604
Semnopithecus_hypoleucos,85152.75039595728,0.0018289523809523,0.00294148809523805,0.3782220693283867
Semnopithecus_johnii,73523.86703646016,0.001625,0.0026091666666666503,0.3771957840945346
Semnopithecus_priam,65375.42185548077,0.0013,0.00232,0.43965517241379315
Semnopithecus_schistaceus,21298.673715128756,4.899999999999e-4,7.558333333333e-4,0.35170893054034624
Semnopithecus_vetulus,82977.94205047472,0.00187883333333325,0.0029446666666666,0.3619538148064435
Trachypithecus_germaini,68756.90919283322,0.00152,0.00244,0.37704918032786877
Trachypithecus_hatinhensis,35223.82643075473,0.00101,0.00125,0.19199999999999998
Trachypithecus_laotum,35028.13019910305,9.5e-4,0.00121,0.2148760330578512
Trachypithecus_leucocephalus,10989.833846395475,4e-4,3.9e-4,-0.02564102564102571
Trachypithecus_melamera,37196.360710876994,8.9e-4,0.00132,0.3257575757575758
Varecia_rubra,50520.07286472548,7.6e-4,0.00157,0.5159235668789809
Varecia_variegata,77448.26276438292,0.00122,0.00223,0.4529147982062781
